first_name,last_name,phone,email,address,customer_type
Andrea,Bell,4443135182,andrea.bell8577@example.com,"34352 Smith Place Apt. 400, Heidiberg, SC 99170",Regular
Travis,Salas,7775204711,travis.salas5909@example.com,"29413 Angela Mall, Port Alexandra, NV 58529",Regular
Kenneth,Chapman,4990913341,kenneth.chapman1109@example.com,"67974 Jesse Squares, Jacquelinemouth, CA 90597",Regular
Jesus,Baker,6183242102,jesus.baker8619@example.com,"PSC 7174, Box 6488, APO AA 57878",Regular
Christopher,Williams,5940139904,christopher.williams8915@example.com,"2967 Theodore Lodge Suite 512, Robertfort, LA 87347",Premium
Sierra,Cervantes,7154516808,sierra.cervantes8313@example.com,"770 Joseph Curve Suite 771, Lake Chelseabury, VT 21259",Regular
Lance,Smith,1317127484,lance.smith8317@example.com,"3982 Joshua Turnpike, Morganhaven, KY 00837",Regular
Justin,Evans,2787558867,justin.evans9080@example.com,"0576 Mcneil Turnpike, South Tammie, DC 66337",Regular
Tammy,Rivera,7187026217,tammy.rivera334@example.com,"8657 Christina Freeway, Wendyland, NE 13404",Regular
Kathleen,Padilla,7240050455,kathleen.padilla6398@example.com,"21969 Tyler Prairie, East Steven, KS 60737",Wholesale
Jonathan,Smith,4821759464,jonathan.smith7703@example.com,"Unit 7136 Box 9594, DPO AP 39197",Regular
Andrew,Greer,4090974395,andrew.greer714@example.com,"104 Johnson Lakes, North Renee, MD 98474",Premium
Robert,Gonzalez,8842474517,robert.gonzalez6339@example.com,"516 Joseph Crossing Suite 549, Carsonstad, CT 88953",Premium
Jesus,Johnson,9317461200,jesus.johnson6117@example.com,"7586 Nicole Shoal, Port Tracychester, KY 04789",Regular
Hannah,Robinson,3515850643,hannah.robinson4156@example.com,"53293 Maria Plaza, New Jason, VI 31040",Regular
Mark,Hernandez,4228421020,mark.hernandez267@example.com,"0268 Julie Mountains, Stricklandhaven, OR 14794",Regular
Shannon,Walker,8470076617,shannon.walker5851@example.com,"24998 James Ranch, Shawnchester, CT 92484",Regular
Danny,Pena,6736576615,danny.pena1107@example.com,"711 Christopher Court, Lisaside, AR 77370",Regular
Sue,Hoffman,6560494519,sue.hoffman5650@example.com,"58514 Lindsay Vista, New Sarahview, AK 24148",Premium
Joshua,Farmer,5022961201,joshua.farmer3951@example.com,"54599 Nicole Drives Apt. 901, Scottchester, NM 80071",Premium
Scott,Nelson,5614978403,scott.nelson1699@example.com,"24451 Tyler Meadows Apt. 268, New Angelica, TN 46922",Regular
Charles,Hensley,6071596966,charles.hensley9534@example.com,"97516 John Radial Suite 816, Juliebury, MA 22538",Regular
Charles,Schultz,5523124329,charles.schultz5448@example.com,"USCGC Marshall, FPO AP 76453",Regular
Shane,Glass,5271774490,shane.glass2186@example.com,"05411 Ford Plaza Apt. 793, Cassidyhaven, FL 08610",Premium
Shannon,Shepherd,1820377889,shannon.shepherd727@example.com,"PSC 6659, Box 0515, APO AE 73634",Premium
Erika,Mitchell,5192546291,erika.mitchell5773@example.com,"81685 Michael Falls Apt. 573, East Eric, LA 13757",Premium
William,Fernandez,5929622292,william.fernandez8946@example.com,"9473 Kyle Valleys, Mckeeborough, MN 89408",Premium
Stacey,Joyce,4688623924,stacey.joyce5547@example.com,"814 Kathryn Groves, Whiteheadberg, MP 57841",Wholesale
Christopher,Lozano,5060685361,christopher.lozano2869@example.com,"522 Justin Village, Hortonberg, WV 92977",Regular
Taylor,Gilbert,0432898614,taylor.gilbert7613@example.com,"971 Mary Parks Apt. 893, West Ruben, RI 46745",Regular
John,Butler,8518888806,john.butler7841@example.com,"Unit 4051 Box 5319, DPO AP 99680",Regular
Marvin,Williams,2772217043,marvin.williams2987@example.com,"687 Johnson Rue Apt. 450, Joshuastad, NE 52932",Regular
Julia,Kline,5277584161,julia.kline2210@example.com,"15447 Jackson Mills Suite 705, Hillton, CA 88474",Regular
Dana,Cox,0297021355,dana.cox1034@example.com,"5719 Alyssa Locks Suite 431, Lake Jacobhaven, MS 74120",Premium
David,Hampton,3947312172,david.hampton7499@example.com,"844 Jennifer Squares, Port Michael, IN 16408",Wholesale
Tracie,Conner,7058957829,tracie.conner606@example.com,"669 David Island Apt. 778, Davidside, SC 77543",Wholesale
Hunter,Burch,8018242253,hunter.burch4808@example.com,"84249 Wayne Extension Apt. 299, Meganshire, AZ 04219",Regular
Christopher,Fry,3969078447,christopher.fry3303@example.com,"76773 Lawson Island, Jessicastad, MO 17640",Regular
Kathleen,Robertson,5371473210,kathleen.robertson718@example.com,"9532 Ferrell Mountain, Kochfort, AK 12303",Regular
Sierra,Wagner,3950047974,sierra.wagner3269@example.com,"565 Richard Port Apt. 584, South Williamside, KY 82190",Regular
Erin,Wilson,6558523986,erin.wilson687@example.com,"8729 Mark Ridge Suite 269, Brittneyhaven, MP 67310",Regular
Amanda,Erickson,7055169409,amanda.erickson5171@example.com,"728 Hernandez Springs, North Ashley, UT 14905",Regular
James,Alexander,2636897028,james.alexander5081@example.com,"Unit 7865 Box 2785, DPO AP 46938",Regular
Erica,Dillon,9733484344,erica.dillon8445@example.com,"1986 Cardenas Trail Apt. 404, West Sandraview, WA 63294",Regular
Jason,Clayton,8421993308,jason.clayton6525@example.com,"712 Tamara Estate Suite 773, Manuelton, PW 12226",Regular
Denise,Hall,2620672400,denise.hall8898@example.com,"7887 Melissa Mountain Suite 315, Lake Stephen, KS 94689",Premium
Jacob,Doyle,9329668516,jacob.doyle7757@example.com,"46374 Turner Stream, West Desireebury, AR 88029",Regular
David,Parker,8414593327,david.parker4151@example.com,"339 Alicia Pines Suite 191, Port Amyhaven, ID 75566",Regular
Amanda,Martin,1397187072,amanda.martin600@example.com,"406 Velasquez Summit Apt. 910, Cooperland, ND 08398",Regular
Sarah,Jones,0462265676,sarah.jones3132@example.com,"28682 Mary Throughway Apt. 478, Patelbury, IA 60876",Wholesale
Michael,Hill,0690331190,michael.hill4688@example.com,"7383 Donald Highway, Port Sabrina, OK 42300",Wholesale
Barbara,Barton,3428364408,barbara.barton5849@example.com,"6856 Hernandez Lane, Port Amanda, IA 30037",Regular
Kevin,Zimmerman,0866882634,kevin.zimmerman784@example.com,"PSC 5183, Box 0469, APO AP 05684",Wholesale
Morgan,Lopez,7354033173,morgan.lopez5439@example.com,"PSC 8546, Box 7854, APO AA 47640",Regular
William,Crawford,7535560932,william.crawford4477@example.com,"USCGC Phillips, FPO AE 43737",Regular
Jerry,Hudson,7854777252,jerry.hudson2040@example.com,"010 Robert Ville, North Jasmine, AL 29169",Regular
William,Brooks,7008860084,william.brooks6030@example.com,"11823 Christine Glen Suite 461, Susanmouth, OK 32378",Premium
Veronica,Perez,0166687002,veronica.perez7160@example.com,"180 Jason Ways Suite 401, Rachelshire, TN 04813",Regular
Harry,Jefferson,3926142939,harry.jefferson6554@example.com,"185 Connor Fort, West Cassiefurt, WI 43279",Wholesale
Anthony,Nelson,7358662961,anthony.nelson7205@example.com,"2626 Ward Course, West Seanview, CT 17868",Regular
Christopher,Jordan,1015819956,christopher.jordan6335@example.com,"839 Gina Extension, West Kevin, NM 19628",Regular
Bryan,Hamilton,4715437993,bryan.hamilton5555@example.com,"9657 Jordan View Apt. 459, South Leon, MO 42331",Regular
Kelly,Neal,9356465193,kelly.neal3061@example.com,"737 Guerra Cliff, Chambersberg, SC 40193",Regular
John,Hopkins,6179796886,john.hopkins8130@example.com,"35290 Rasmussen Isle, Rodriguezville, KS 29599",Regular
William,Stone,7567982507,william.stone8152@example.com,"PSC 1125, Box 4573, APO AP 63799",Regular
Michael,Davis,5140105123,michael.davis6019@example.com,"3622 Foster Street Apt. 796, Smithborough, IL 36984",Regular
Karen,Stokes,9182553714,karen.stokes8508@example.com,"155 Williamson Via Suite 991, West David, ME 15829",Regular
Isaac,Steele,6929662782,isaac.steele4370@example.com,"7905 Todd Fields, Maynardhaven, SD 65377",Premium
Robert,Vasquez,7219034043,robert.vasquez1354@example.com,"819 Joseph Plains Suite 807, South Curtis, MP 86179",Wholesale
Karen,Evans,7451713395,karen.evans6956@example.com,"09584 Mario Squares, Keithview, PR 67926",Regular
Tricia,Shelton,2604223253,tricia.shelton1294@example.com,"667 Cynthia Trafficway Apt. 684, Shawnfort, MD 76779",Regular
Aaron,Schroeder,7518636374,aaron.schroeder7056@example.com,"750 Cory Tunnel, Smithburgh, NV 60337",Regular
Aaron,Rubio,2424154152,aaron.rubio9871@example.com,"1103 Miller Ramp, New Erin, AL 01557",Regular
Heather,Montoya,2713611155,heather.montoya2957@example.com,"218 Chelsey Expressway, Bellborough, SC 98578",Regular
Edward,Jenkins,3112196565,edward.jenkins8938@example.com,"999 Maxwell Spurs, Port Melanieport, IL 68363",Regular
Catherine,Lopez,4037613791,catherine.lopez4814@example.com,"USNS Hughes, FPO AP 55664",Regular
Michael,Vega,1091043006,michael.vega5263@example.com,"618 Joshua Inlet Apt. 832, Peterland, ME 92077",Premium
Samuel,Ashley,0316179904,samuel.ashley1681@example.com,"75884 Nathan Summit, Jessicaville, WI 04348",Regular
Matthew,Patterson,4917785079,matthew.patterson1312@example.com,"138 Bradley Wall, East Brandonstad, MS 20172",Premium
Harold,Horne,8635365419,harold.horne5373@example.com,"38061 Cline Trail, Markside, NH 01545",Regular
Miguel,Carter,9375973832,miguel.carter4844@example.com,"050 Sweeney Stream Suite 138, South Travis, AR 19162",Premium
Jennifer,Davis,8657191826,jennifer.davis5022@example.com,"44565 Chavez Fort, East Derekshire, CT 20870",Regular
Daniel,Cole,6185374741,daniel.cole7306@example.com,"52135 Palmer Springs, Jorgeburgh, AK 53505",Regular
Melissa,Hawkins,1712100323,melissa.hawkins9874@example.com,"01372 Rebecca Village Suite 107, East Sandrachester, GU 95453",Regular
Randall,Johnson,2532447209,randall.johnson6982@example.com,"8701 Reyes Manor Apt. 838, South Kimberlystad, NJ 71872",Premium
Kimberly,Cooper,6420593040,kimberly.cooper2731@example.com,"13348 Kathryn Forges, Kellyburgh, HI 31506",Wholesale
Brittany,Drake,9059929378,brittany.drake7273@example.com,"93087 Martin Ridges, Port David, VT 23761",Regular
Samantha,Richard,0029218515,samantha.richard5760@example.com,"26752 Walker Radial Apt. 644, East Jessica, UT 75583",Regular
Peter,Gamble,2959391725,peter.gamble7326@example.com,"Unit 2157 Box 0433, DPO AP 09386",Regular
Michael,Buchanan,0676267658,michael.buchanan694@example.com,"71040 Green Cove, West Georgefurt, GA 96443",Regular
Charles,Mcmahon,5997062962,charles.mcmahon5777@example.com,"8844 Young Causeway, Armstrongfort, FL 07645",Regular
Michael,Patterson,9731032417,michael.patterson7127@example.com,"86256 Lopez Cape Suite 774, Port Joseph, AR 20309",Regular
Karen,Contreras,5869380686,karen.contreras4499@example.com,"1608 David Throughway Suite 223, East Brad, CO 90039",Premium
Ryan,Osborn,9451168685,ryan.osborn940@example.com,"PSC 0998, Box 6162, APO AE 74765",Regular
Brianna,Chang,1914856467,brianna.chang1230@example.com,"2996 Randy Isle Apt. 074, Andrewport, ME 37246",Wholesale
Megan,Garrison,3247546913,megan.garrison6656@example.com,"82148 Taylor Vista Apt. 233, East Antonioton, PW 47736",Regular
Janet,Hill,8610357972,janet.hill5953@example.com,"1406 Frank Ports, Port Jeffrey, IN 89327",Regular
Jamie,Pearson,0722903494,jamie.pearson8407@example.com,"3748 Silva Avenue Suite 899, Kennethville, NJ 08868",Regular
Matthew,Hill,4443283096,matthew.hill2622@example.com,"6660 Matthew Station Apt. 875, Meganside, HI 39007",Regular
Connor,Anderson,8251353465,connor.anderson511@example.com,"0999 Thomas Fields, Port Erinhaven, ME 54647",Premium
Brian,Dickerson,3569725217,brian.dickerson2340@example.com,"4329 Tracy Track, East Christinachester, MO 56734",Regular
Tammy,Reyes,8350583003,tammy.reyes9955@example.com,"942 Madison Hills Suite 789, Ryanberg, MA 64749",Regular
Michael,Lopez,0332309821,michael.lopez7180@example.com,"909 Ebony Shoal Apt. 016, Jamesside, KS 62681",Regular
Jacqueline,Harris,4618499261,jacqueline.harris571@example.com,"3934 Michael Lodge, Ethanside, NM 27723",Premium
Haley,Castillo,0011972181,haley.castillo2069@example.com,"7012 Melissa Lake Suite 611, North Melissaburgh, MA 47362",Regular
Patricia,Friedman,1552166746,patricia.friedman1102@example.com,"16979 White Light, Cherylberg, NJ 64480",Regular
Daniel,Jenkins,1450899358,daniel.jenkins3867@example.com,"5628 Alexander Estate, Christianburgh, CA 98992",Wholesale
Travis,Allen,0838663177,travis.allen6002@example.com,"1701 Gutierrez Point Apt. 199, Pamelaside, IL 86300",Regular
Emily,Clements,0375899757,emily.clements5934@example.com,"488 Park Cape Apt. 726, West Cherylborough, DE 51998",Regular
Jason,Summers,5160917798,jason.summers6273@example.com,"697 Heather Extensions, North Paul, PA 79951",Regular
Nicole,Gordon,6934654722,nicole.gordon9294@example.com,"833 Claudia Highway Suite 228, Jenniferstad, OH 63464",Premium
Brandi,Bender,8460810620,brandi.bender531@example.com,"4204 Karen Bypass, Lisaville, RI 89043",Regular
Jodi,Hancock,3840666580,jodi.hancock9914@example.com,"59893 Kelly Fall Apt. 228, South Billyview, OH 35135",Regular
David,Silva,0572025909,david.silva2514@example.com,"583 Abigail Turnpike, South Amy, MO 12552",Premium
Michael,Ware,5543987801,michael.ware7372@example.com,"PSC 9930, Box 5616, APO AA 71310",Regular
Jennifer,Johnson,8877043581,jennifer.johnson6078@example.com,"36138 Lucas Cliffs, North Stephen, MA 05466",Regular
Christopher,Brown,8193466766,christopher.brown6096@example.com,"919 Jaclyn Cliffs, Sarahville, LA 90400",Premium
Kevin,Miller,6607283268,kevin.miller7274@example.com,"88210 Ashley Lock Apt. 435, South Rebecca, PR 67682",Wholesale
Douglas,White,3129087814,douglas.white1260@example.com,"5231 Harvey Fields Suite 775, Heatherberg, OK 74800",Premium
Michael,Stewart,2053364525,michael.stewart9404@example.com,"8129 Meagan Walks Apt. 834, Lake Charlestown, PR 66977",Regular
Crystal,Hess,9308488725,crystal.hess2256@example.com,"78816 Shaw Shore Apt. 928, South Erik, OK 74663",Regular
Donna,Faulkner,5037314530,donna.faulkner8675@example.com,"05184 Lane Port Apt. 665, New Johnbury, NC 53695",Wholesale
Michael,Parrish,7908272318,michael.parrish6013@example.com,"136 Cortez Orchard Suite 739, Lake Martha, AK 32439",Wholesale
Bradley,Berry,2809202428,bradley.berry6522@example.com,"37977 Jeffrey Loop Apt. 929, Garymouth, NH 78689",Regular
Brittany,Hall,2103886291,brittany.hall5151@example.com,"72980 Boyd Land, Lake Alyssabury, AS 63693",Wholesale
Kristine,James,6247314986,kristine.james4567@example.com,"818 Nicholas Ford, Robertville, FL 56347",Regular
Denise,King,9594636887,denise.king4090@example.com,"9562 Julie Mission Apt. 138, Hartmanside, RI 91865",Premium
Gabrielle,Williams,0127961143,gabrielle.williams1859@example.com,"9849 Sonya Viaduct Apt. 770, Port Diane, AS 68416",Regular
Justin,Johnson,9205302146,justin.johnson425@example.com,"118 Barber Points, Michaelview, IN 79978",Regular
Sylvia,Gibson,9042681818,sylvia.gibson3049@example.com,"947 Hart Trail Apt. 577, South Darrenland, MS 83556",Regular
Kristina,Robinson,5658804341,kristina.robinson8177@example.com,"5539 White Summit, South Jillian, IA 96895",Regular
John,Baker,3395211179,john.baker8483@example.com,"579 Henry Track Suite 639, North Alicia, NE 63195",Wholesale
Sheila,Johnson,6271875003,sheila.johnson6341@example.com,"84347 Diaz Parks Suite 365, Melissaview, NV 24079",Regular
Ashley,Krause,1438663227,ashley.krause9203@example.com,"4489 Raymond Spurs Apt. 034, Combsville, NV 98096",Regular
Matthew,Ward,5061593998,matthew.ward1930@example.com,"716 Ford Drive Apt. 569, Sweeneyland, CO 21734",Regular
Matthew,Edwards,4964759876,matthew.edwards4289@example.com,"413 Randy Court, South Amytown, WI 52538",Premium
Alexandria,Ferrell,4921643347,alexandria.ferrell4265@example.com,"55778 Dunn Dale, New Carla, SC 98662",Regular
Cynthia,Elliott,5783174564,cynthia.elliott7312@example.com,"4780 Arroyo Neck, Albertchester, AS 38894",Premium
Carla,Robles,3686632663,carla.robles3516@example.com,"8463 Ian Highway Apt. 797, Jackiefort, ID 42528",Premium
Andrew,Williams,2144270312,andrew.williams4679@example.com,"5705 Megan Drive Apt. 461, Whiteview, GU 50515",Regular
Maria,Martinez,6730371837,maria.martinez8048@example.com,"881 Olson Hills, West Paige, VI 87886",Regular
Jeff,Rodriguez,5024916300,jeff.rodriguez3280@example.com,"27195 Brian Rue, Lake Amanda, CT 16993",Regular
Tony,Stewart,7306524077,tony.stewart2010@example.com,"285 Oconnor Harbor, North Amanda, NV 39255",Premium
Lori,Weaver,0862095935,lori.weaver2224@example.com,"294 Ortiz Islands Apt. 181, Port Sharonburgh, VI 04600",Wholesale
James,Washington,0967899405,james.washington1214@example.com,"717 Michael Summit, Shortton, GU 81363",Wholesale
Joseph,Williams,4138113863,joseph.williams7407@example.com,"861 Craig Squares, Andradeburgh, WY 24145",Wholesale
Andrea,Wagner,8975585566,andrea.wagner2829@example.com,"8457 Moyer Alley, West Caitlinhaven, DC 40063",Regular
Adam,Joyce,5048889921,adam.joyce7293@example.com,"9334 Davis Locks Apt. 157, South Margaret, UT 92624",Regular
Barbara,Velez,0961055661,barbara.velez1439@example.com,"48058 Mark Square Apt. 206, Mullinsshire, NY 12308",Premium
Jeffrey,Roberts,2251790864,jeffrey.roberts5237@example.com,"78376 Ann Street, East Charles, WI 56870",Premium
Marcus,Glass,1665535590,marcus.glass5693@example.com,"270 James Landing Apt. 110, New Sara, VI 38208",Premium
Alexander,Benson,4770538338,alexander.benson1064@example.com,"069 Jonathan Circle, Jamesview, AR 61444",Premium
Diana,Smith,4510463681,diana.smith9012@example.com,"87800 Sandra Inlet, Tracyburgh, AK 45954",Premium
Gabrielle,Kelly,3840460843,gabrielle.kelly8883@example.com,"689 Robert Ports, South Tara, PW 79847",Regular
Mark,Daniels,2983248262,mark.daniels4758@example.com,"52056 Turner Summit, Edwinborough, CT 17742",Regular
Jack,Farmer,9993933051,jack.farmer4915@example.com,"526 Wells Estates Apt. 306, West Stephaniebury, WA 88494",Premium
Vanessa,Todd,2797573660,vanessa.todd2581@example.com,"177 Natalie Gardens, Terrellton, OH 51278",Regular
Zachary,Mccoy,3476447264,zachary.mccoy2853@example.com,"PSC 7718, Box 1298, APO AE 52021",Wholesale
Robert,Hayes,7937145211,robert.hayes5923@example.com,"892 Pierce Cape Apt. 592, Port Duane, WI 93830",Regular
Brett,Parker,4212309407,brett.parker8336@example.com,"39776 Miller Rapid Apt. 384, North Jack, AR 86127",Premium
Michael,Thomas,9945101622,michael.thomas3674@example.com,"9501 Morris Light, Port Ronaldside, CA 38883",Regular
Thomas,Martinez,5868339019,thomas.martinez1989@example.com,"9548 Ho Ridges Suite 877, New Jesse, LA 25870",Regular
Aaron,Johnson,3966055830,aaron.johnson3293@example.com,"8850 Gina Junctions Suite 990, East Mark, MA 88643",Wholesale
Timothy,Wells,2727857608,timothy.wells2276@example.com,"95512 Pittman Junction, Simsburgh, OK 79889",Regular
Perry,Larson,5046173574,perry.larson3879@example.com,"31780 Stein Drives Apt. 578, Kimberlyberg, WI 13379",Regular
Lynn,Hurley,3076810409,lynn.hurley8095@example.com,"409 Fowler Fords, Jamesport, KY 70267",Regular
Luis,Alexander,4224109881,luis.alexander431@example.com,"49321 Austin Junction Suite 020, Bergerton, CT 50780",Regular
Brian,Simmons,9979545381,brian.simmons5913@example.com,"74773 Douglas Ridges Suite 562, Kristinamouth, NH 64399",Regular
Anthony,Alvarez,7724599281,anthony.alvarez9078@example.com,"8769 Allen Gardens, South Patrick, MA 27795",Regular
Lisa,Garza,9583219719,lisa.garza9377@example.com,"46191 Murphy Rue Apt. 132, Port Dwayneberg, NV 70133",Regular
Kelly,Gilbert,3354946519,kelly.gilbert6045@example.com,"0580 Jacqueline View, Danielport, VI 04588",Regular
Joe,Park,5666683272,joe.park7658@example.com,"2422 Charles Brook Apt. 762, East Dawnchester, VI 60273",Regular
Patricia,Dominguez,9278687653,patricia.dominguez9039@example.com,"384 House Ports Suite 009, Bushville, OR 63616",Regular
Suzanne,Miller,7818913718,suzanne.miller2127@example.com,"077 Berry Isle Suite 544, North Heather, PA 98729",Regular
Kevin,Glover,0792904904,kevin.glover1413@example.com,"2944 Smith Creek Apt. 927, Lindseyview, WY 92352",Wholesale
Joel,White,5129276637,joel.white1078@example.com,"41027 Alvarez Mountains Apt. 667, Dustinchester, AL 38353",Regular
Sara,Cole,8018569454,sara.cole5068@example.com,"3938 Byrd Falls Suite 800, North Roberthaven, CT 90350",Regular
Sean,Robinson,4300910939,sean.robinson6524@example.com,"9212 Phillips Shore, Lake Shawnview, WI 56466",Wholesale
Heather,Contreras,4214066504,heather.contreras7843@example.com,"627 Douglas Trafficway, Robinsonville, PW 58379",Regular
Jennifer,Garcia,1947072006,jennifer.garcia8613@example.com,"PSC 9087, Box 7661, APO AP 30103",Regular
Aaron,Finley,1985546015,aaron.finley6731@example.com,"328 Tammy Shore Apt. 461, Tommouth, WA 25334",Regular
Donald,Lee,7618478700,donald.lee6709@example.com,"1387 Joyce Fort, North Jillfort, SD 02999",Regular
Thomas,Hardin,3202041792,thomas.hardin9420@example.com,"36565 Theresa Ports, West Mary, WY 28449",Regular
Kathryn,Watkins,1142625827,kathryn.watkins1209@example.com,"07100 Sara Squares Suite 672, East Danielle, NC 59538",Regular
Robert,Hurley,9279145608,robert.hurley2054@example.com,"Unit 1958 Box 8373, DPO AA 07456",Premium
James,Hogan,7220054364,james.hogan5195@example.com,"220 Robertson Cliffs, Lake Sean, OR 43226",Premium
Robert,Burgess,3153136363,robert.burgess1216@example.com,"39726 Taylor Stravenue Apt. 543, Davidshire, AR 37280",Regular
Derek,York,6253492929,derek.york7373@example.com,"97740 Fitzgerald Gateway Apt. 569, New Sophia, PW 75697",Premium
Rachel,Butler,0780686717,rachel.butler7633@example.com,"632 Phillips Rue, North Timothyport, GA 92684",Regular
Stephen,Hudson,7726257016,stephen.hudson8477@example.com,"989 Kristin Common Suite 085, North Patrickmouth, RI 05858",Premium
Michael,Thompson,8325381793,michael.thompson5645@example.com,"PSC 8640, Box 1557, APO AA 66227",Regular
Alisha,Martinez,7951371162,alisha.martinez2103@example.com,"272 Abigail Road, West Robertside, DC 62616",Regular
Michael,Wallace,4310385695,michael.wallace9033@example.com,"4924 Kristina Forks Suite 540, West Justin, GA 81586",Regular
Sandra,Joseph,2222310592,sandra.joseph9631@example.com,"552 West Estates, Davidtown, MO 65960",Wholesale
Kayla,Gould,2088547492,kayla.gould2982@example.com,"28140 Williamson Forges Suite 515, New Danielleshire, NC 29617",Regular
Kimberly,Wang,0187186375,kimberly.wang2115@example.com,"USNV Sanders, FPO AP 56552",Premium
Mike,Watson,5547813767,mike.watson7089@example.com,"99123 Wells Ways Suite 196, North Robertview, MT 23424",Regular
Angela,Page,3264870494,angela.page8239@example.com,"44714 White Spurs, North David, KY 65126",Regular
Virginia,Jones,9796471589,virginia.jones908@example.com,"7252 Joseph Manor, Brandonport, NC 84248",Regular
Sharon,Palmer,1928554451,sharon.palmer2035@example.com,"84576 Mccall Estates, East Ericbury, MP 25197",Premium
Laura,Hansen,6711207545,laura.hansen8489@example.com,"40132 Hailey Inlet Apt. 321, Vazquezville, CA 02965",Regular
Kim,Todd,3108907140,kim.todd2508@example.com,"393 Ellen Burgs, East Meghanview, OR 46092",Premium
Michael,Wyatt,8911908334,michael.wyatt4983@example.com,"Unit 1387 Box 5927, DPO AP 14568",Regular
Henry,Kelly,6383615171,henry.kelly2698@example.com,"015 Wilson Haven Suite 947, New Richard, PR 56594",Regular
Jacob,Jones,5207167811,jacob.jones2654@example.com,"215 Matthew Ranch, Martinezchester, VA 65920",Regular
Joshua,Reeves,6579678427,joshua.reeves5287@example.com,"201 Maria Parks, East Patrickmouth, FL 40183",Regular
Christy,Davis,8773477848,christy.davis3695@example.com,"1675 Ramos Camp, East Angelaport, FM 93045",Regular
Frank,Jordan,6719788977,frank.jordan5670@example.com,"9695 Flores Burgs Apt. 255, Port Patriciamouth, MS 13260",Regular
Ronnie,Braun,5033349114,ronnie.braun8502@example.com,"76986 Smith Mountains Apt. 569, Morrisville, AS 64511",Regular
Craig,Leonard,7852945637,craig.leonard4654@example.com,"9639 Jennifer Prairie, New Matthewland, OK 70108",Regular
Thomas,Clark,4846853664,thomas.clark1293@example.com,"82973 Adams Route, Michaelton, NC 26800",Premium
Michael,Hernandez,4665136442,michael.hernandez4106@example.com,"30347 Castro Mews, Lucaston, ID 21388",Regular
Joseph,Johnson,8207001594,joseph.johnson3217@example.com,"2319 Alejandra Village, Tylerland, IA 79120",Regular
David,Roman,9636321234,david.roman9025@example.com,"8515 Wells Gateway, Natashaberg, MN 62789",Regular
Jennifer,Underwood,9003486451,jennifer.underwood4497@example.com,"4134 Michele Estates Suite 560, Michellefort, NJ 97093",Premium
Robert,Randall,1248156985,robert.randall2051@example.com,"720 Gonzalez Inlet, Barbaraville, GA 33217",Regular
Zachary,Booker,9657724295,zachary.booker4962@example.com,"6930 Sandra Rue, North Terri, ID 34813",Regular
